Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	Slycopersicum<58>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	Mguttatus<60>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<59>	<29>	FRAX28<4>	FRAX06<22>	<5>
22	8	17	11	11	13	7	12	14	17	12	5	19	17	11	15	8	1	11	6	16	5	20	9	13	13	16	21	23	13	10	12	7	11	6	1	9	10	13	9	11	6	8	10	9	11	10	10	10	17	13	17	10	13	23	11	9	14	7	16	11
23	13	13	11	14	13	10	12	13	13	12	10	11	13	13	9	13	21	11	6	7	12	12	13	11	13	13	10	14	13	9	13	10	12	9	7	10	12	12	15	11	10	6	12	10	12	10	9	15	11	13	14	10	12	9	12	8	13	6	11	10
24	12	11	11	8	12	8	12	12	11	12	12	10	11	11	10	11	10	11	7	8	10	10	12	13	12	11	12	11	12	11	11	12	11	11	7	12	13	12	11	11	11	11	10	12	11	12	12	11	9	11	9	12	12	10	11	8	12	11	11	12
25	11	11	7	11	12	8	11	13	11	11	9	11	11	9	12	9	27	13	7	17	10	13	8	11	12	11	17	10	12	10	11	10	11	9	8	11	9	11	19	11	9	15	8	7	11	10	11	18	10	11	12	10	11	10	11	15	13	8	9	10
26	10	11	10	11	12	11	12	12	11	12	11	11	11	12	11	10	15	10	10	4	10	11	11	10	12	11	11	10	12	11	11	12	11	10	4	12	12	12	12	11	10	12	10	11	11	12	11	12	11	11	11	12	12	11	11	5	12	12	12	12
27	11	13	12	13	13	13	11	13	13	11	10	14	13	11	11	11	1	14	13	0	9	12	9	18	13	13	12	14	13	7	13	11	11	13	0	11	14	13	5	13	14	1	9	11	13	12	12	8	18	13	10	12	13	12	11	0	13	12	9	12
28	8	12	11	12	12	11	12	12	12	12	5	12	12	11	11	12	10	12	7	6	12	11	11	11	12	12	15	13	12	12	12	9	12	9	3	11	7	11	10	12	10	12	10	11	12	11	10	10	13	12	10	11	11	11	12	6	12	11	12	11
29	9	10	9	10	10	10	10	10	10	10	10	10	10	9	10	10	2	9	10	11	9	9	10	8	10	10	10	10	10	9	10	10	10	10	50	10	7	9	11	10	10	1	10	8	10	9	10	11	10	10	9	9	9	10	10	18	10	9	10	9
30	7	10	15	10	12	13	12	12	9	12	8	8	10	11	9	9	25	15	11	2	12	11	11	8	12	11	11	7	12	14	13	10	13	10	0	10	11	12	14	14	7	8	13	8	13	11	8	14	8	12	9	11	12	7	12	2	12	10	13	12
31	14	14	14	6	12	7	12	11	14	12	9	14	14	14	3	19	2	12	6	0	13	15	13	4	12	14	20	11	12	13	14	9	13	7	0	9	13	13	3	12	7	3	10	12	13	12	11	4	15	14	15	12	13	13	14	0	11	9	13	13
32	13	9	12	9	14	6	13	13	9	13	12	1	4	18	12	13	1	13	10	1	12	16	12	7	14	11	15	12	14	17	12	12	14	12	0	12	14	16	4	12	12	5	14	5	13	17	15	5	1	12	0	17	16	1	14	1	12	17	12	17
33	8	12	9	11	12	8	12	12	12	12	11	12	12	10	9	12	11	8	9	6	9	11	10	13	12	12	12	13	12	11	11	12	10	12	6	12	8	11	11	8	12	12	9	9	10	10	10	11	9	12	13	10	11	13	10	7	12	10	12	11
34	7	13	11	10	11	13	11	11	12	11	9	13	13	10	13	13	2	12	9	0	12	12	12	11	11	13	13	11	11	10	13	10	13	10	0	10	11	11	5	13	12	4	13	10	13	11	13	6	11	13	13	11	11	14	13	0	11	9	10	11
35	8	11	9	8	11	7	11	11	11	11	11	12	11	12	10	9	12	8	8	6	9	10	12	10	11	11	12	12	11	12	10	11	9	8	6	11	8	11	11	8	8	12	8	9	9	11	9	11	11	10	8	11	11	13	9	7	11	9	12	11
36	7	10	7	9	10	8	9	10	10	9	8	10	10	11	9	12	13	10	8	18	7	8	5	6	10	10	8	13	10	8	9	9	9	9	19	9	11	10	14	9	11	7	10	7	9	10	9	14	10	10	9	10	10	8	8	17	10	9	8	10
37	10	11	9	8	11	8	11	11	11	11	10	11	11	8	9	11	11	10	10	6	8	11	10	11	11	11	10	10	11	10	10	11	10	10	5	11	8	11	11	10	9	10	9	9	10	10	9	11	10	11	11	9	11	11	10	6	11	11	12	10
38	11	10	15	13	11	8	10	11	10	10	10	9	10	9	10	16	11	15	8	5	14	6	9	7	11	11	9	4	11	13	13	10	12	10	3	10	10	11	10	13	10	3	10	10	13	11	15	10	11	13	6	11	11	2	12	5	11	7	6	11
39	9	8	12	5	11	11	11	11	8	11	8	7	8	9	11	6	32	12	6	3	9	13	10	7	11	9	8	7	11	8	10	9	9	8	8	10	10	11	16	11	8	9	6	8	10	11	12	15	6	9	7	11	11	7	9	8	11	11	11	11
40	6	10	8	10	10	10	10	10	10	10	9	10	10	8	10	10	13	10	9	5	11	10	9	10	10	10	9	9	10	8	10	10	10	9	5	10	8	10	11	10	9	11	9	10	10	9	9	11	9	10	11	9	10	10	10	6	10	10	10	9
