Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	Slycopersicum<58>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	Mguttatus<60>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<59>	<29>	FRAX28<4>	FRAX06<22>	<5>
2350	2	3	3	2	3	3	3	3	2	3	2	3	3	3	3	3	3	3	2	1	2	3	1	2	3	3	3	2	3	2	3	3	3	3	4	3	4	3	3	3	3	3	2	1	3	3	3	3	2	3	3	3	3	3	3	3	3	2	3	3
2351	3	3	3	2	3	3	3	3	3	3	2	3	3	3	1	3	4	3	2	3	2	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	2	1	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3
2352	2	3	3	2	3	2	3	3	3	3	3	2	3	2	2	3	4	2	3	2	2	3	3	3	3	3	3	2	3	2	3	3	3	3	1	3	3	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	2	3	3	3	3
2353	4	3	6	2	3	2	2	4	3	2	1	1	2	6	10	3	1	3	3	0	4	4	2	1	4	3	3	3	4	3	3	2	3	2	0	2	4	4	1	3	1	1	2	2	3	3	0	1	1	3	2	3	4	1	3	0	4	3	1	3
2354	3	3	3	2	3	2	3	3	3	3	2	3	3	2	2	2	2	3	3	1	3	3	2	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	2	3	3	3	2	3	3	3	3	2	3	3	2	3	3	3	3	1	3	2	3	3
2355	3	3	2	2	3	3	3	3	3	3	2	3	3	3	2	3	4	3	2	2	3	3	2	3	3	3	3	3	3	2	3	2	3	2	1	3	4	3	3	3	2	3	2	3	3	3	3	3	3	3	2	3	3	3	3	2	3	1	3	3
2356	1	3	3	2	3	2	3	3	3	3	2	3	3	3	3	3	2	3	3	1	3	3	2	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	2	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	1	3	3	2	3
2357	2	3	3	2	3	2	3	3	3	3	3	3	3	4	3	3	5	3	2	1	2	3	3	3	3	3	3	3	3	2	3	3	3	3	1	3	2	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	3	1	3	2	3	3
2358	4	3	2	2	3	2	3	3	3	3	3	3	3	4	2	2	3	3	3	1	3	2	4	4	3	3	2	2	3	2	3	3	3	3	1	3	2	3	3	3	2	3	3	2	3	3	2	3	3	3	3	3	3	3	3	1	3	4	2	3
2359	3	3	4	2	3	3	2	3	3	2	2	3	3	2	3	2	2	3	2	3	3	2	2	3	3	3	3	2	3	4	3	2	3	2	2	2	2	3	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3
2360	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	1	3	3	3	3	3	3	3	2	3	2	3	3	3	3	2	3	2	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3
2361	3	3	3	4	3	2	3	3	3	3	3	3	3	2	2	3	3	2	3	1	3	2	3	3	3	3	2	2	3	2	3	3	2	3	2	3	3	3	3	2	3	5	2	2	2	2	2	3	2	3	3	2	3	3	2	2	3	2	2	2
2362	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	5	3	2	1	1	3	2	3	3	3	3	3	3	2	3	3	3	2	1	3	3	3	3	3	2	3	3	2	3	2	3	3	3	3	3	2	3	3	3	1	3	2	3	2
2363	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	2	2	2	1	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	1	3	3	3	3	4	2	3	3	3	3	3	2	3	3	3	3	3	3	2	3	3	3	3
2364	3	3	2	2	3	2	3	3	3	3	2	3	3	3	3	2	3	3	2	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2	2	3	3	3	3	2	3	4	3	3	4	3	3	3	2	3	3
2365	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	4	4	2	2	4	3	3	3	3	3	4	2	3	1	3	3	4	2	2	3	2	3	3	4	1	2	4	2	4	2	2	3	3	3	3	2	3	3	4	2	3	2	2	2
2366	3	3	3	2	3	2	3	3	3	3	2	3	3	2	3	3	4	3	3	2	2	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2	2	1	2	3	3	3	3	3	3	3	3	3	4	3	2	3	3	3	3
2367	2	3	3	2	3	3	3	3	3	3	3	2	3	5	4	4	2	4	3	0	4	2	3	2	3	3	2	4	3	1	3	3	3	3	0	3	4	3	2	3	3	1	3	2	3	3	4	2	2	3	3	4	3	1	3	0	3	3	1	3
2368	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	2	4	3	3	2	3	1	3	3	3	3	3	2	3	2	3	3	3	3	1	3	2	3	3	3	3	2	3	2	3	3	2	3	3	3	2	3	3	3	3	2	3	3	3	3
2369	3	3	3	1	3	2	3	3	3	3	3	3	3	3	2	3	4	2	1	3	3	3	2	3	3	3	3	3	3	3	3	3	3	2	1	3	3	3	3	2	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3
2370	1	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	1	3	2	3	2	3	3	3	3	3	1	3	3	3	3	9	3	2	2	3	3	3	3	3	3	3	2	2	3	1	3	2	2	2	3	3	3	3	3	2	2
2371	4	3	4	1	2	3	2	3	3	2	1	3	3	2	2	3	2	4	2	2	5	2	2	8	2	3	3	2	2	2	3	2	3	2	4	2	2	2	3	3	1	1	3	2	3	2	2	3	2	3	2	2	2	3	3	3	3	2	1	2
2372	2	2	2	3	3	1	4	2	2	4	4	2	2	3	1	2	2	1	4	2	2	2	4	3	3	2	1	2	3	3	2	4	1	4	1	4	5	3	2	1	5	2	1	2	1	3	3	2	3	2	2	3	3	2	1	2	2	2	5	3
2373	3	3	2	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	2	3	3	3	2	2	3	3	3	2	3	3	2	3	3	3	3	2	3	3	3	3
2374	1	3	3	3	3	1	3	3	3	3	3	3	3	3	2	3	3	2	3	2	3	3	3	2	3	3	4	2	3	3	3	3	3	3	1	3	3	3	3	2	3	3	2	2	3	3	2	3	2	3	3	3	3	3	3	2	3	3	3	3
2375	1	3	2	3	3	1	3	3	3	3	2	3	3	3	2	2	5	3	2	2	2	3	3	3	3	3	4	3	3	3	3	3	3	3	2	3	2	3	4	3	3	3	2	2	3	3	4	4	3	3	3	3	3	3	3	2	3	3	3	3
2376	2	3	3	1	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	1	3	2	3	2	3	3	3	2	3	2	3	3	3	3	2	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3
2377	3	3	3	3	3	2	3	3	3	3	3	3	3	4	2	2	2	2	3	2	2	2	3	2	3	3	2	3	3	4	3	3	2	3	2	3	3	3	2	2	2	3	1	2	2	4	4	2	3	3	4	4	3	3	2	2	3	3	3	4
2378	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	2	0	2	3	3	3	3	3	3	2	3	3	3	3	3	3	2	3	3	3	2	3	3	3	1	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3
2379	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	1	2	3	3	3	3	3	3	3	3	2	3	3	3	3	1	3	1	3	2	3	3	4	2	3	3	3	2	2	2	3	3	2	3	3	3	1	3	3	3	3
2380	3	3	3	2	3	3	3	3	3	3	1	3	3	2	2	3	2	3	1	1	3	3	3	2	3	3	3	3	3	2	3	3	3	3	2	3	3	3	2	3	3	4	3	3	3	3	3	2	3	3	3	3	3	2	3	2	3	3	3	3
2381	2	3	2	3	3	1	3	3	3	3	1	3	3	3	2	3	6	2	3	2	2	4	2	2	3	3	4	4	3	4	3	3	3	3	2	3	1	3	4	2	1	4	3	3	3	3	3	4	3	3	1	3	3	4	3	2	3	3	3	3
2382	3	3	2	1	3	2	3	3	2	3	2	3	3	3	1	4	5	2	2	2	3	3	2	2	3	3	4	2	3	2	3	2	3	2	1	3	3	3	3	2	2	4	3	1	3	3	3	3	3	3	2	3	3	4	3	2	3	4	5	3
2383	2	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	4	3	3	1	3	2	4	2	3	3	2	3	3	3	3	3	3	3	1	3	4	3	3	3	2	2	2	3	3	3	3	3	2	3	2	3	3	2	3	1	3	2	2	3
2384	3	2	1	3	3	2	3	3	2	3	3	2	2	3	2	3	6	2	3	4	3	2	3	2	3	2	2	2	3	3	2	3	2	3	2	3	2	3	4	2	2	2	2	2	2	3	3	4	4	2	2	3	3	2	2	4	3	2	3	3
2385	2	3	2	1	3	2	3	3	3	3	4	3	3	2	3	2	5	2	1	1	2	4	3	3	3	3	3	4	3	2	2	3	2	2	1	3	2	3	3	2	2	4	2	2	2	3	4	3	3	2	1	3	3	4	2	1	3	3	4	3
2386	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	4	3	2	1	3	3	1	3	3	3	3	3	3	2	3	3	3	3	1	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	1	3	3	3	3
2387	2	3	2	2	3	2	3	3	3	3	2	3	3	3	3	2	4	3	1	5	3	2	2	3	3	3	3	2	3	3	3	3	3	3	1	3	3	3	4	3	3	3	2	3	3	3	3	4	2	3	3	3	3	3	3	4	3	3	3	3
2388	2	4	4	1	2	5	2	3	4	2	2	4	4	2	2	3	3	3	2	1	3	2	2	2	2	4	2	4	2	2	4	2	3	2	2	2	2	2	3	4	3	3	3	3	4	2	2	3	4	4	4	2	2	3	3	2	3	2	2	2
2389	2	3	2	2	3	2	3	3	3	3	3	3	3	3	2	3	5	3	3	2	1	2	3	2	3	3	3	3	3	2	3	3	3	3	1	3	2	3	3	3	3	3	2	2	3	3	3	3	3	3	4	3	3	3	3	2	3	4	3	3
2390	3	3	3	2	3	3	2	3	3	2	2	3	3	3	4	3	3	3	2	2	3	2	2	3	3	3	2	3	3	3	3	2	3	2	1	2	3	3	3	3	2	2	4	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	3
2391	5	3	2	0	4	2	4	3	3	4	2	1	2	2	2	3	0	2	3	1	4	4	6	2	4	3	3	4	4	6	3	3	3	3	0	3	6	5	1	2	1	1	1	3	3	5	2	1	1	3	0	2	5	1	3	1	3	5	4	5
2392	3	3	3	3	3	3	2	3	3	2	2	3	3	2	3	3	3	3	2	1	3	2	2	3	3	3	3	3	3	2	3	2	3	2	2	2	2	3	3	3	2	2	3	3	3	3	3	3	2	3	3	3	3	3	3	2	3	3	2	3
2393	3	3	2	2	3	2	3	3	3	3	2	3	3	3	2	3	2	2	2	1	2	3	3	3	3	3	2	3	3	3	2	3	2	3	1	3	4	3	2	2	3	3	2	3	2	3	2	2	5	3	3	3	3	3	2	1	3	2	3	3
2394	3	3	3	2	3	2	3	3	3	3	3	3	3	2	1	3	4	3	3	1	3	3	2	3	3	3	3	3	3	2	3	3	3	3	1	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	1	3	2	3	2
2395	2	3	3	1	3	3	3	3	3	3	1	3	3	3	2	3	6	3	1	1	3	3	2	3	3	3	3	3	3	2	3	3	3	3	1	3	2	3	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	1	3	2	3	3
2396	3	3	3	2	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	1	3	3	3	3	3	3	3	2	3	3	3	3	3	3	1	3	1	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	1	3	2	3	3
2397	2	3	2	2	3	2	3	3	4	3	2	3	3	3	2	3	4	2	3	1	1	2	3	3	3	3	2	6	3	3	2	3	2	3	1	3	3	3	3	2	2	2	2	4	2	3	3	3	4	3	3	3	3	2	2	1	3	2	3	3
2398	1	3	3	3	3	2	3	3	3	3	3	3	3	2	2	3	2	3	3	1	3	3	3	3	3	3	4	3	3	2	3	3	3	3	1	3	2	3	2	3	3	3	2	3	3	2	3	2	3	3	3	2	3	3	3	1	3	2	3	2
2399	2	3	2	3	3	1	3	3	3	3	3	3	3	3	3	2	3	3	3	2	1	3	3	4	3	3	3	3	3	2	2	3	2	3	2	3	3	3	3	2	3	2	2	2	2	3	2	3	3	2	4	3	3	4	2	2	3	3	3	3
2400	2	3	3	1	3	3	3	3	3	3	1	3	3	3	4	3	3	4	2	1	1	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	4	2	3	3	3	3	2	3	2	3	3	3	3	2	3	3	3	3
2401	2	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	1	2	2	2	3	3	3	2	3	3	4	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	1	3	2	2	3
2402	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	3	3	3	3	3	3	2	3	3	3	3	3	3	3	1	3	1	3	3	3	3	3	3	3	3	3	2	3	1	3	3	3	3	3	3	1	3	3	3	3
2403	3	3	2	2	3	2	3	3	3	3	2	3	3	2	3	2	3	3	2	2	3	3	3	2	3	3	2	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3
2404	3	3	3	1	3	2	3	3	3	3	1	3	3	3	3	3	3	3	0	2	3	3	3	2	3	3	3	3	3	3	3	1	3	1	2	3	3	3	3	3	1	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3
2405	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	2	4	3	2	4	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	4	3	3	3	0	3	3	3	3	4	2	3	1	3	3	3	3	4	3	3	3	3
2406	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	1	2	2	3	3	3	3	1	3	3	2	3	3	2	3	2	3	3	3	3	2	3	3	1	3	2	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3
2407	2	3	3	2	3	2	3	3	3	3	3	3	3	3	3	1	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	2	3	2	1	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3
2408	1	3	2	2	3	2	3	3	3	3	2	3	3	3	3	3	7	3	2	1	1	3	3	3	3	3	4	3	3	2	3	2	3	2	1	3	2	3	4	3	2	4	2	2	3	3	2	4	3	3	3	3	3	3	3	1	3	3	3	3
2409	3	3	3	2	3	2	3	3	3	3	3	3	3	3	2	3	2	2	2	1	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	2	2	3	1	2	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3
2410	3	3	3	2	3	3	3	3	2	3	3	3	3	2	2	2	4	3	3	1	3	3	2	3	3	3	3	2	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	1	3	3	2	3	3	3	3	2	3	3	3	1	3	3	3	3
2411	3	3	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	2	2	3	3	3	3	3	2	3	3	3	3	1	3	2	3	3	3	3	3	2	2	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3
2412	2	3	3	1	3	2	3	3	3	3	2	3	3	3	3	2	3	3	2	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	3	2	3	2	3	3
2413	2	3	2	2	3	2	3	3	3	3	2	3	3	2	2	2	7	2	2	5	1	2	2	3	3	3	3	2	3	2	2	2	2	2	1	2	5	3	5	2	2	2	2	3	2	3	1	5	4	2	3	2	3	3	2	4	3	3	3	3
2414	2	3	3	2	3	3	3	3	3	3	1	2	3	3	3	3	5	3	2	1	3	3	2	3	3	3	3	3	3	3	3	2	3	2	2	3	2	3	4	3	2	3	2	3	3	3	3	4	2	3	3	3	3	2	3	2	3	2	3	3
2415	1	3	3	3	3	2	3	3	3	3	3	3	3	2	2	3	3	3	3	1	4	3	2	3	3	3	3	3	3	3	3	3	4	3	1	3	1	3	3	3	3	3	4	2	3	3	3	3	3	3	3	3	3	3	4	1	3	2	3	3
2416	2	4	4	2	3	2	3	3	4	3	4	4	4	1	1	2	3	2	2	2	2	4	1	4	3	4	3	5	3	2	4	3	2	3	2	3	0	3	3	2	3	4	2	4	2	3	1	3	4	4	1	1	3	4	2	2	3	4	4	3
2417	3	3	2	4	3	2	3	3	3	3	1	3	3	2	3	3	4	4	2	3	2	4	1	4	3	3	4	4	3	2	3	2	3	2	3	3	2	3	4	3	2	4	2	0	3	2	3	4	2	3	3	2	3	3	3	3	3	1	3	2
2418	3	3	3	2	3	2	3	3	3	3	1	3	3	3	3	3	3	2	3	1	3	3	2	3	3	3	3	3	3	2	3	3	3	3	1	3	3	3	3	2	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	1	3	2	3	3
2419	2	3	2	2	3	2	3	3	3	3	1	3	3	3	2	3	3	3	1	3	3	3	2	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3
2420	3	3	3	2	3	3	3	3	3	3	2	3	3	2	2	3	2	3	2	1	3	3	3	4	3	3	2	3	3	2	3	3	3	3	1	3	3	3	2	3	3	3	3	2	3	3	2	2	2	3	3	2	3	4	3	1	3	3	2	3
2421	3	3	2	1	2	2	2	3	3	2	2	3	3	4	2	3	3	2	1	12	2	3	1	3	3	3	2	3	3	2	2	2	2	1	2	2	3	3	4	2	1	1	2	2	2	3	3	4	3	3	3	3	3	3	2	5	3	3	2	3
2422	3	3	1	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	2	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	2	3
2423	2	3	2	3	3	3	3	3	3	3	2	3	3	3	3	2	5	3	2	2	2	3	3	3	3	3	2	3	3	3	3	2	2	2	2	3	3	3	4	3	2	3	2	1	3	3	3	4	3	3	3	3	3	3	2	2	3	3	3	3
2424	3	3	3	1	3	3	3	3	3	3	3	3	3	2	3	3	4	3	2	2	3	3	2	2	3	3	3	3	3	0	3	3	3	2	1	3	3	3	3	3	2	3	3	1	3	2	2	3	3	3	3	2	3	3	3	2	3	3	3	2
2425	3	3	3	2	3	2	3	3	3	3	3	3	3	2	3	3	5	3	2	1	3	3	3	2	3	3	3	3	3	1	3	3	3	2	2	3	3	3	3	3	2	3	2	2	3	2	2	3	3	3	3	2	3	3	3	2	3	3	3	2
2426	2	3	3	3	3	3	3	3	3	3	2	3	3	3	1	3	5	3	3	1	2	3	3	2	3	3	3	3	3	2	3	3	3	3	1	3	2	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	1	3	2	3	3
2427	3	3	2	3	3	3	3	3	3	3	2	3	3	4	3	3	2	2	2	1	2	3	3	2	3	3	2	3	3	3	3	2	2	2	2	3	4	3	2	3	2	3	2	2	3	3	3	2	3	3	3	3	3	2	2	2	3	2	3	3
2428	2	3	2	3	3	2	3	3	3	3	2	3	3	3	3	3	4	3	1	1	2	3	2	3	3	3	3	2	3	2	3	2	3	2	2	3	4	3	3	3	2	3	2	3	3	3	3	3	4	3	3	3	3	3	3	2	3	3	2	3
2429	1	3	2	3	3	2	3	3	3	3	3	2	3	3	2	2	5	2	3	2	4	4	4	2	3	3	4	3	3	3	3	3	3	3	1	3	2	3	3	2	2	2	3	2	3	3	2	3	2	3	3	3	3	2	4	2	3	2	3	3
2430	4	3	2	3	3	2	3	3	3	3	2	3	3	3	3	1	3	2	2	1	1	3	3	2	3	3	2	3	3	3	2	2	2	2	2	2	3	3	3	2	2	2	2	1	2	3	3	3	3	2	3	3	3	4	2	2	3	4	4	3
2431	3	3	3	2	3	3	3	3	3	3	2	2	3	3	2	3	0	3	4	0	3	3	3	2	3	3	2	2	3	3	3	3	3	3	2	3	3	3	2	3	3	2	3	3	3	3	3	2	2	3	2	3	3	2	3	2	3	3	3	3
2432	3	3	3	1	3	3	3	3	3	3	2	3	3	2	3	3	3	2	2	1	3	3	3	3	3	3	3	3	3	3	3	2	3	2	2	3	3	3	3	3	1	3	1	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3
2433	2	4	4	1	3	2	3	3	4	3	1	4	4	3	3	5	1	2	2	0	1	3	2	3	3	4	4	5	3	3	4	3	3	3	0	3	3	3	2	2	3	2	3	2	3	3	3	2	2	4	4	3	3	5	3	0	3	2	4	3
2434	2	3	2	3	3	3	3	3	3	3	2	2	3	2	2	3	2	3	3	1	3	2	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	2	3	3	3	3	2	3	2	2	2	2	3	3	2	3	2	3	1	3	2	3	3
2435	2	3	5	2	3	3	3	3	2	3	3	3	3	2	2	4	1	2	3	1	2	2	2	2	3	3	2	2	3	5	3	3	3	3	2	3	3	3	2	3	2	1	3	1	3	3	3	2	3	3	3	3	3	3	2	2	3	3	2	3
2436	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	1	4	3	2	1	3	3	3	3	3	3	2	2	3	2	3	2	3	2	1	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	1	3	3	3	3
2437	2	3	3	2	3	3	3	3	3	3	1	3	3	3	3	2	3	3	3	2	2	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	1	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3
2438	2	3	3	3	3	3	3	3	3	3	2	3	3	1	1	3	4	3	2	5	3	2	3	3	3	3	3	2	3	3	3	2	3	2	2	2	2	2	4	3	2	2	3	3	3	2	1	4	3	3	3	1	2	3	3	4	3	2	3	2
2439	2	3	3	1	2	5	2	3	3	2	2	3	3	3	3	2	3	3	2	0	4	3	2	2	3	3	2	2	3	3	3	2	4	2	1	2	4	3	3	4	2	1	4	3	4	3	3	3	3	3	2	3	3	2	4	1	3	4	2	3
2440	2	3	3	3	3	1	3	3	3	3	2	3	3	3	2	4	3	3	2	1	1	3	3	3	3	3	4	2	3	3	3	3	3	3	1	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	1	3	2	3	3
2441	2	3	3	2	3	3	3	3	3	3	2	3	3	3	3	2	4	3	3	2	3	3	3	3	3	3	4	3	3	1	3	3	3	3	2	3	1	3	3	3	3	3	3	2	3	2	2	3	2	3	3	2	3	4	3	2	3	1	2	2
2442	5	2	2	2	3	2	2	3	2	2	1	2	2	4	2	2	4	3	3	0	3	5	2	2	4	2	3	2	3	5	2	2	3	2	1	2	5	5	3	3	2	1	2	2	3	4	3	3	2	2	2	4	5	2	3	1	3	4	2	5
2443	2	3	3	2	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	0	2	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	2	3	3	2	3	1	3	3	2	2	3	3	3	3	3	3	3	0	3	2	3	3
2444	3	3	1	3	3	1	3	3	3	3	3	3	3	3	1	3	4	3	3	1	3	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	2	3	3	2	3	3	3	3	3	3	2	3	3	2	3	2	3	3	3	3
2445	2	3	1	3	3	2	3	3	3	3	3	3	3	3	3	2	3	2	3	1	2	3	1	3	3	3	3	4	3	3	2	3	2	3	1	3	2	3	3	2	3	3	2	3	2	3	3	3	3	2	3	3	3	4	2	1	3	3	3	3
2446	7	1	0	1	5	0	6	2	0	6	6	1	1	3	1	3	0	0	9	0	0	5	7	0	5	1	0	0	5	7	0	6	0	6	0	6	3	5	1	0	5	1	0	0	0	6	3	1	0	1	1	3	5	1	0	0	2	8	8	6
2447	2	3	2	3	3	2	3	3	3	3	2	3	3	2	3	3	2	4	2	0	2	4	2	2	3	3	2	4	3	3	3	2	2	2	0	3	4	3	2	3	2	4	2	3	3	2	2	2	5	3	2	2	3	3	2	0	3	2	2	3
2448	2	3	2	3	3	4	3	3	3	3	3	3	3	2	3	2	4	5	2	1	4	2	2	3	3	3	3	3	3	3	3	3	3	2	1	3	3	3	3	4	1	4	1	1	3	2	2	3	3	3	2	2	3	3	3	1	3	2	3	3
2449	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	2	2	3	3	2	3	3	3	3	2	3	3	3	3	3	3	1	3	1	3	2	3	3	3	3	2	3	3	3	2	2	3	3	3	3	3	3	2	3	2	3	3
2450	2	3	3	3	3	3	3	3	3	3	2	3	3	2	1	3	4	3	2	2	3	3	3	3	3	3	3	3	3	2	3	2	3	2	1	3	2	3	3	3	2	3	3	3	3	2	2	3	2	3	3	2	3	3	3	2	3	2	3	2
2451	3	3	2	3	3	1	3	3	3	3	2	3	3	3	3	3	4	3	2	1	1	3	2	3	3	3	3	3	3	3	3	2	3	2	2	3	3	3	3	3	2	3	2	3	3	3	3	3	2	3	3	3	3	3	3	2	3	3	2	3
2452	3	3	2	1	3	3	3	3	2	3	1	4	3	2	2	4	6	3	1	2	1	4	3	3	3	3	5	0	3	1	3	2	3	2	4	3	2	3	4	3	2	4	1	1	3	2	2	4	4	3	2	2	3	5	3	4	3	3	3	2
2453	2	4	3	1	3	1	3	3	4	3	3	4	4	2	2	3	3	2	2	2	2	3	2	3	3	4	3	4	3	3	3	3	3	2	2	3	2	3	3	2	2	3	3	4	3	3	2	3	4	3	4	2	3	3	3	2	3	3	3	3
2454	2	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	4	3	3	1	3	3	2	2	3	3	3	3	3	2	3	3	3	3	1	3	2	3	3	3	3	3	3	2	3	2	3	3	2	3	2	2	3	3	3	1	3	2	2	2
2455	2	3	2	3	3	2	3	3	3	3	2	3	3	4	4	3	1	1	2	1	1	4	1	4	3	3	3	3	3	2	3	3	3	3	1	3	3	3	2	2	3	3	3	2	3	3	4	2	3	3	4	4	3	4	3	1	3	2	3	3
2456	3	3	2	3	3	2	3	3	3	3	2	3	3	2	2	4	4	3	1	3	2	3	2	4	3	3	2	3	3	1	3	2	2	1	2	3	3	3	4	3	1	4	1	4	3	2	2	4	3	3	2	2	3	3	2	3	3	3	3	2
2457	2	3	2	4	3	2	3	3	3	3	1	3	3	3	3	3	5	3	2	1	1	3	2	3	3	3	3	2	3	3	3	2	3	2	1	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	2	3	1	3	3	3	3
2458	2	3	2	2	3	2	3	3	3	3	2	3	3	1	2	2	4	3	3	3	2	4	3	4	3	3	4	2	3	2	3	3	3	3	2	3	2	3	4	3	3	3	3	2	3	3	3	4	3	3	3	3	3	3	3	3	3	3	2	3
2459	3	3	1	3	3	0	3	3	3	3	2	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	4	3	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	0	3	3	3	3	2	3	3	3	3
