# The labeled CAFE tree:	((((((((((((FRAX30<0>,FRAX32<2>)<1>,FRAX28<4>)<3>,FRAX12<6>)<5>,(FRAX07<8>,FRAX29<10>)<9>)<7>,FRAX08<12>)<11>,(((((FRAX01<14>,FRAX16<16>)<15>,FRAX15<18>)<17>,FRAX00<20>)<19>,(FRAX06<22>,FRAX23<24>)<23>)<21>,FRAX25<26>)<25>)<13>,FRAX21<28>)<27>,(((FRAX19<30>,FRAX20<32>)<31>,((FRAX11<34>,FRAX27<36>)<35>,FRAX04<38>)<37>)<33>,(((((FRAX03<40>,FRAX09<42>)<41>,FRAX13<44>)<43>,(FRAX26<46>,FRAX14<48>)<47>)<45>,FRAX05<50>)<49>,FRAX33<52>)<51>)<39>)<29>,FRAX31<54>)<53>,Oeuropea<56>)<55>,Mguttatus<58>)<57>,Slycopersicum<60>)<59>
<23>:	6844[+1*],8145[+1*],14025[+1*],17339[+1*]
FRAX15<18>:	358[+2*],407[+2*],430[+2*],486[+2*],619[+3*],639[+2*],782[+2*],1228[+5*],1369[+2*],1395[+2*],1614[+2*],1792[+2*],1837[+2*],1845[+3*],2158[+4*],2651[+4*],3089[+2*],3294[+2*],3446[+2*],3455[+2*],4175[+2*],4232[+2*],4463[+2*],4832[+3*],5202[+2*],5825[+2*],6757[+2*],7433[+2*],7611[+3*],8122[+2*],8137[+2*],8499[+2*],9477[+2*],10006[+3*],10280[+4*],10624[+2*],10896[+2*],10963[+4*],11303[+2*],11498[+2*],11702[+2*],11706[+2*],11765[+2*],11842[+2*],20227[+2*],28[-5*],75[-5*],90[-5*],176[-4*],185[-6*],297[-4*],329[-4*],350[-5*],571[-4*],1022[-4*],1155[-3*],1873[-4*],2198[-3*],3003[-3*],3271[-3*],3450[-3*],3826[-3*],4694[-3*],6469[-3*],9738[-3*]
<35>:	3380[+2*],19[-5*],32[-3*],645[-2*],1014[-2*],1448[-3*],1450[-3*],2037[-3*],2649[-2*],2818[-2*],3485[-3*],4237[-2*],6741[-2*],8491[-2*],8639[-2*],9359[-2*],9835[-2*],9882[-2*],9936[-2*],10245[-2*],10344[-2*],11078[-2*],11626[-2*],17488[-2*]
<37>:	1423[+2*],4019[+1*],16673[+1*],17058[+1*],32[-5*],645[-2*],1014[-2*],1069[-2*],1085[-2*],1281[-2*],1792[-2*],4113[-2*]
FRAX32<2>:	18[+6*],23[+2*],66[+2*],76[+2*],152[+3*],171[+2*],347[+2*],385[+2*],397[+2*],785[+3*],837[+2*],873[+2*],1246[+2*],1335[+3*],1463[+2*],1552[+3*],1693[+2*],1716[+3*],2237[+3*],2353[+2*],2598[+2*],2845[+2*],2957[+2*],3059[+2*],3454[+2*],3664[+2*],3826[+2*],3827[+2*],3841[+2*],4006[+2*],4835[+2*],5202[+2*],6335[+1*],7798[+2*],8045[+2*],8205[+1*],8673[+4*],8847[+2*],9094[+2*],9271[+3*],9669[+1*],9672[+3*],10052[+1*],10197[+2*],10367[+1*],10563[+1*],10721[+1*],10752[+1*],11459[+1*],11487[+1*],11510[+1*],11684[+1*],11792[+1*],11848[+1*],11895[+1*],12043[+1*],12197[+1*],12401[+2*],12546[+1*],12640[+2*],13375[+1*],14195[+1*],14947[+2*],15317[+1*],15415[+2*],16551[+1*],17097[+1*],17203[+1*],17329[+1*],17420[+1*],17568[+1*],17942[+1*],17950[+1*],17971[+2*],18005[+1*],18147[+1*],18452[+1*],18719[+1*],18868[+1*],19060[+1*],19553[+2*],19615[+1*],19883[+1*],20454[+1*],20949[+1*],23076[+1*],2[-4*],6[-4*],67[-3*],74[-5*],150[-3*],174[-3*],183[-3*],209[-3*],230[-3*],335[-3*],376[-3*],383[-3*],486[-4*],588[-2*],689[-3*],911[-3*],935[-2*],949[-3*],1014[-6*],1018[-3*],1069[-2*],1092[-3*],1112[-2*],1255[-2*],1327[-3*],1392[-2*],1403[-2*],1432[-2*],1498[-2*],1614[-3*],1774[-2*],1792[-4*],1835[-2*],1854[-4*],1862[-2*],2107[-3*],2252[-3*],2295[-2*],2560[-2*],2762[-2*],2939[-2*],3050[-3*],3065[-2*],3164[-3*],3271[-3*],3282[-2*],3482[-2*],3586[-2*],3880[-2*],4238[-2*],4733[-2*],5774[-2*],6708[-2*],6922[-2*],7523[-2*],8013[-3*],8166[-3*],8491[-2*],9578[-2*],10532[-2*],11069[-2*],11955[-2*],12276[-2*],13591[-2*],13817[-2*],14111[-2*],15924[-2*],16890[-2*],16927[-2*],17753[-2*],18381[-2*],18553[-2*],20069[-2*]
FRAX21<28>:	12[+4*],52[+2*],76[+2*],152[+3*],176[+5*],184[+4*],423[+2*],442[+2*],571[+3*],605[+2*],959[+3*],1335[+2*],1523[+3*],1710[+4*],1800[+4*],1868[+2*],2075[+6*],2100[+2*],2295[+2*],2308[+2*],2353[+6*],2583[+2*],2720[+4*],2791[+2*],2874[+2*],2929[+2*],2985[+4*],2990[+4*],3279[+2*],3460[+2*],3548[+2*],3841[+2*],4223[+2*],5564[+2*],5599[+3*],5622[+7*],5631[+2*],6728[+3*],6922[+3*],7130[+2*],7797[+2*],8698[+3*],9332[+2*],9400[+5*],9569[+2*],9805[+2*],10007[+3*],10098[+2*],10293[+2*],10374[+2*],11823[+2*],12017[+5*],15790[+2*],17741[+4*],17829[+2*],18994[+2*],19058[+4*],19745[+2*],31[-10*],171[-6*]
FRAX33<52>:	7[+4*],31[+4*],171[+2*],197[+4*],307[+2*],319[+2*],376[+2*],957[+6*],1085[+3*],1128[+2*],1167[+2*],2019[+2*],2446[+2*],2500[+3*],2713[+2*],2765[+2*],3586[+2*],5189[+3*],6411[+2*],7190[+7*],7244[+2*],7611[+2*],7851[+2*],8438[+2*],8453[+2*],9767[+3*],9983[+2*],10792[+3*],11020[+2*],14996[+2*],16427[+2*],17626[+2*],17651[+2*],18624[+2*],18706[+2*],19585[+4*],469[-5*],571[-5*],639[-4*],725[-5*],817[-5*],1392[-4*],1444[-4*],1800[-4*]
Oeuropea<56>:	7[+7*],10[+13*],30[+8*],39[+11*],48[+16*],56[+8*],61[+5*],64[+9*],86[+13*],102[+5*],121[+7*],174[+8*],181[+5*],187[+12*],189[+7*],194[+4*],213[+6*],216[+6*],283[+8*],285[+28*],307[+6*],359[+6*],394[+8*],493[+7*],553[+9*],588[+6*],619[+4*],645[+4*],752[+11*],785[+5*],817[+5*],862[+11*],873[+4*],906[+10*],907[+7*],911[+7*],1082[+12*],1086[+16*],1220[+4*],1392[+8*],1403[+6*],1472[+9*],1628[+4*],1854[+6*],2307[+4*],2609[+6*],2647[+16*],2713[+8*],2904[+14*],2921[+8*],3354[+5*],3827[+16*],4290[+3*],4323[+23*],4450[+5*],4837[+42*],5197[+5*],6400[+5*],7314[+4*],7668[+12*],7783[+3*],7846[+8*],8487[+8*],8490[+4*],8992[+5*],9094[+3*],9135[+3*],10283[+7*],10707[+5*],11351[+4*],11680[+3*],12514[+25*],13375[+4*],14939[+4*],16858[+2*],17420[+2*],19268[+6*],8[-11*],12[-10*],16[-8*],19[-11*],20[-13*],22[-13*],27[-10*],29[-12*],32[-7*],34[-7*],47[-7*],59[-6*],70[-6*],80[-8*],114[-6*],115[-7*],163[-6*],220[-5*],230[-5*],246[-5*],260[-4*],291[-5*],372[-4*],397[-4*],456[-4*],567[-5*],611[-4*],703[-4*],837[-4*],938[-4*],1021[-4*],1022[-4*]
FRAX26<46>:	18[+3*],38[+2*],48[+2*],53[+2*],56[+2*],77[+3*],122[+2*],124[+3*],141[+3*],184[+2*],191[+4*],241[+3*],284[+3*],292[+2*],383[+2*],394[+2*],440[+2*],611[+2*],645[+2*],917[+2*],931[+2*],1014[+2*],1022[+2*],1432[+2*],1799[+3*],2198[+2*],2252[+2*],2583[+2*],2753[+2*],3847[+2*],3892[+3*],4175[+2*],4241[+2*],4365[+2*],5197[+1*],6202[+2*],6728[+2*],7132[+3*],7392[+2*],7611[+1*],8045[+1*],9271[+3*],9400[+3*],9547[+2*],9850[+1*],10006[+2*],10007[+1*],10059[+1*],10126[+3*],10332[+2*],10600[+2*],10685[+1*],10707[+1*],11036[+1*],11218[+1*],11316[+2*],11327[+2*],11751[+2*],11848[+1*],12053[+1*],13014[+1*],14025[+1*],14624[+1*],14768[+1*],14948[+2*],16673[+1*],16793[+2*],16814[+1*],17097[+2*],17203[+1*],17235[+1*],17288[+1*],17507[+2*],17688[+1*],17829[+1*],17975[+2*],18020[+2*],18147[+1*],18706[+1*],19066[+1*],19244[+1*],19667[+2*],20121[+1*],20222[+1*],20508[+1*],19[-6*],60[-4*],307[-3*],352[-3*],623[-2*],785[-3*],837[-2*],855[-2*],873[-2*],906[-3*],932[-2*],938[-2*],982[-2*],1003[-2*],1034[-2*],1113[-2*],1498[-2*],1638[-2*],1651[-2*],1707[-3*],1792[-3*],1875[-2*],1937[-2*],1945[-3*],1957[-2*],2020[-2*],2285[-2*],2644[-2*],2808[-2*],2904[-2*],2939[-2*],2957[-2*],2990[-2*],3005[-2*],3089[-2*],3544[-2*],4023[-2*],4205[-2*],4409[-3*],4967[-2*],5591[-2*],6182[-2*],7130[-2*],7244[-2*],8078[-2*],8199[-2*],8487[-2*],9477[-2*],9557[-2*],9672[-2*],9874[-2*],9983[-2*],10344[-2*],10391[-3*],10538[-2*],10936[-2*],10965[-2*],11009[-2*],11155[-2*],11257[-2*],11508[-2*],11510[-2*],12750[-2*],12813[-2*],14939[-2*],15128[-2*],16927[-2*],17846[-2*],17950[-2*]
<5>:	271[+2*],5015[+2*],6038[+2*],8045[+2*],8873[+2*],9077[+2*],10233[+3*],213[-4*],1299[-4*],9817[-2*],17488[-2*]
