# The labeled CAFE tree:	((((((((((((FRAX30<0>,FRAX32<2>)<1>,FRAX28<4>)<3>,FRAX12<6>)<5>,(FRAX07<8>,FRAX29<10>)<9>)<7>,FRAX08<12>)<11>,(((((FRAX01<14>,FRAX16<16>)<15>,FRAX15<18>)<17>,FRAX00<20>)<19>,(FRAX06<22>,FRAX23<24>)<23>)<21>,FRAX25<26>)<25>)<13>,FRAX21<28>)<27>,(((FRAX19<30>,FRAX20<32>)<31>,((FRAX11<34>,FRAX27<36>)<35>,FRAX04<38>)<37>)<33>,(((((FRAX03<40>,FRAX09<42>)<41>,FRAX13<44>)<43>,(FRAX26<46>,FRAX14<48>)<47>)<45>,FRAX05<50>)<49>,FRAX33<52>)<51>)<39>)<29>,FRAX31<54>)<53>,Oeuropea<56>)<55>,Mguttatus<58>)<57>,Slycopersicum<60>)<59>
<23>:	27754[+1*],6373[+1*],3060[+1*],42351[+1*]
FRAX15<18>:	20614[+4*],20781[+3*],29425[+3*],14375[+3*],31227[+3*],40299[+3*],1536[+3*],16074[+2*],10412[+2*],5657[+3*],12698[+3*],22553[+2*],6582[+2*],11162[+2*],42219[+2*],11342[+2*],10406[+2*],4999[+2*],41270[+3*],13970[+2*],10114[+2*],34781[+2*],13260[+5*],21321[+2*],15386[+2*],18473[+3*],17970[+2*],30792[-8*],29387[-6*],9569[-5*],14060[-4*],4544[-4*],11922[-3*],11230[-4*],23147[-3*],32796[-3*],25799[-3*],29795[-3*],35378[-3*],17891[-3*]
<35>:	18866[+2*],16072[+2*],36846[+2*],15686[-4*],43784[-3*],27269[-2*],11342[-2*],3507[-2*],3017[-2*],12307[-2*]
<37>:	11496[+1*],34496[+1*],19796[+1*],13588[-2*],13052[-2*],43477[-2*],43318[-2*],39686[-2*],9564[-3*]
FRAX32<2>:	22563[+3*],5010[+7*],5110[+3*],42465[+3*],38508[+4*],20730[+2*],16467[+4*],41727[+4*],24442[+2*],42650[+3*],28974[+3*],23258[+3*],39414[+2*],28725[+2*],26505[+2*],15665[+2*],206[+2*],7035[+2*],22677[+2*],18638[+2*],25791[+2*],43400[+4*],23692[+2*],7046[+2*],12157[+2*],23002[+3*],31548[+3*],27655[+2*],20206[+3*],40285[+3*],10317[+2*],39828[+2*],32927[+3*],1417[+1*],26807[+2*],9501[+1*],6058[+2*],33788[+4*],32616[+3*],34781[+2*],11392[+3*],32506[+1*],19633[+1*],21321[+1*],20452[+1*],26050[+2*],41526[+1*],30633[+1*],18107[+1*],3186[+1*],35210[+1*],4814[+2*],42110[+1*],43871[+1*],5583[+1*],9665[+2*],4538[+1*],17669[+1*],7521[+1*],41284[+1*],17447[+1*],39454[+1*],18059[+1*],35836[+1*],28234[+1*],40324[+1*],10507[-6*],25540[-5*],38694[-3*],5803[-3*],10981[-3*],9259[-4*],18[-4*],36079[-3*],43477[-3*],2684[-3*],37086[-2*],14375[-3*],33650[-3*],5976[-2*],40872[-3*],10950[-2*],7226[-3*],9564[-5*],24669[-2*],4997[-2*],31787[-3*],18155[-2*],16899[-2*],9072[-2*],7545[-2*],5657[-3*],17478[-2*],18452[-3*],22553[-4*],30965[-2*],34687[-2*],12932[-2*],16543[-2*],33737[-2*],31893[-2*],39235[-2*],30008[-2*],264[-2*],2221[-2*]
FRAX21<28>:	33069[+5*],14200[+6*],7280[+5*],40838[+4*],12901[+5*],1187[+6*],43970[+5*],35933[+5*],43400[+3*],21966[+6*],959[+4*],36152[+3*],28230[+5*],40285[+7*],28088[+4*],10317[+3*],16556[+8*],33737[+3*],7060[+3*],32616[+2*],29040[+2*],20270[+3*],38691[+3*],37632[+2*],17669[+2*],10831[-15*],23258[-5*]
FRAX33<52>:	42747[+5*],20781[+4*],29958[+4*],40807[+3*],29370[+4*],329[+4*],2291[+4*],31787[+3*],18807[+3*],32432[+2*],23435[+3*],11754[+2*],4561[+2*],6373[+4*],22996[+7*],42543[+3*],26050[+3*],24181[+2*],10568[+2*],38721[+2*],31869[+2*],28899[-5*],12434[-4*],43970[-4*],33012[-3*],26691[-4*],2167[-3*],43352[-3*],39038[-3*]
Oeuropea<56>:	139[+7*],33528[+10*],2065[+14*],43071[+25*],1238[+5*],43418[+19*],25540[+16*],7441[+6*],10831[+35*],11969[+14*],336[+6*],21592[+30*],8907[+23*],42109[+7*],20122[+6*],3873[+18*],38810[+7*],8919[+7*],12761[+20*],21394[+8*],29387[+28*],20629[+21*],20752[+34*],20355[+7*],27952[+15*],9569[+7*],23159[+10*],5726[+19*],17325[+6*],14757[+17*],42747[+10*],36691[+10*],22290[+17*],4995[+8*],9322[+12*],42702[+6*],2257[+13*],31613[+10*],5110[+5*],2414[+7*],124[+11*],19168[+9*],2216[+16*],43937[+10*],18670[+8*],15074[+7*],13390[+8*],6264[+6*],13588[+5*],11463[+11*],39867[+6*],12434[+21*],23258[+4*],37086[+6*],32998[+4*],33933[+13*],22492[+8*],13700[+8*],1118[+4*],925[+10*],43525[+8*],18866[+6*],39686[+6*],25791[+6*],40872[+8*],18155[+7*],13232[+7*],29600[+15*],32927[+19*],38458[+4*],1060[+6*],5693[+25*],9484[+3*],22725[+3*],40376[+8*],6827[+3*],6814[+5*],31023[+3*],27112[+4*],5583[+4*],26531[+2*],17669[+3*],14200[-7*],35543[-6*],15686[-8*],39919[-9*],12308[-6*],27073[-8*],32484[-8*],27852[-6*],8009[-5*],7686[-6*],25122[-4*],14557[-4*],9568[-4*],43988[-4*],11922[-4*],11230[-5*],22559[-4*],12901[-4*],8301[-4*]
FRAX26<46>:	139[+4*],10507[+6*],2065[+4*],43418[+5*],18876[+4*],27372[+3*],18737[+3*],3873[+3*],12761[+6*],17937[+3*],41985[+4*],5010[+5*],18670[+3*],20614[+2*],20730[+2*],25470[+2*],19893[+2*],37606[+2*],13588[+2*],24698[+2*],841[+3*],28840[+4*],42866[+2*],32970[+2*],27814[+3*],925[+2*],43525[+2*],17480[+3*],15326[+3*],39686[+3*],16861[+2*],29296[+3*],9564[+2*],32263[+3*],16126[+2*],25799[+2*],2167[+2*],6611[+3*],29610[+3*],18452[+2*],35378[+2*],23655[+2*],38927[+2*],26098[+3*],42190[+2*],33727[+2*],10933[+3*],27849[+3*],12949[+1*],2899[+3*],500[+1*],2943[+1*],37164[+1*],31210[+1*],26815[+3*],33764[+1*],1454[+2*],6593[+2*],32616[+4*],42596[+3*],20270[+1*],17649[+1*],32506[+1*],25425[+1*],14655[+1*],30633[+1*],9471[+2*],11450[+2*],31023[+2*],37285[+1*],35212[+1*],8293[+1*],29469[+1*],19796[+1*],28012[+1*],7521[+1*],32394[+2*],13806[+1*],23286[+1*],6801[+1*],35065[+2*],33322[+1*],35836[+1*],26920[-5*],14757[-4*],14200[-3*],15686[-5*],19168[-3*],33885[-3*],33650[-2*],1793[-3*],27912[-2*],26964[-2*],18638[-2*],25791[-2*],31473[-3*],16273[-2*],34851[-2*],8635[-2*],4418[-2*],29600[-2*],7410[-2*],29603[-2*],36212[-2*],9329[-2*],6532[-2*],34781[-2*],11392[-2*],39707[-2*]
<5>:	30546[+3*],22553[+2*],37757[+3*],30008[+2*]
