Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	Mguttatus<58>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<57>	Slycopersicum<60>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<29>	FRAX28<4>	FRAX06<22>	<5>
2174	29	34	35	25	9	31	30	30	33	34	30	22	29	33	27	36	34	36	33	19	35	31	36	30	31	34	39	39	31	22	34	25	33	24	26	24	29	36	32	27	20	28	29	33	33	30	26	25	36	27	34	28	26	29	26	35	34	24	28	26
9654	26	31	28	29	15	32	29	31	33	30	31	31	30	31	30	32	29	33	31	25	29	29	31	27	32	31	31	25	32	25	31	31	31	28	31	33	32	34	31	29	31	31	28	31	30	18	30	29	34	29	31	30	30	32	28	31	33	31	25	30
34819	26	29	28	29	29	31	28	30	31	29	30	29	27	29	29	27	30	28	29	30	27	27	24	26	31	29	28	28	31	32	29	30	28	29	30	31	31	32	29	27	29	26	25	29	34	15	30	29	32	24	29	27	30	31	27	28	31	29	28	31
10831	28	29	26	21	14	27	22	25	28	28	25	21	31	29	32	13	33	83	27	21	26	31	22	34	28	29	31	28	28	26	28	22	26	21	23	29	30	48	26	18	19	22	17	26	29	6	31	33	46	26	29	26	32	30	38	27	30	27	27	30
11969	20	25	21	17	39	25	24	24	26	25	24	22	21	24	24	19	26	62	23	23	25	23	19	22	25	25	25	27	25	27	24	24	24	23	24	24	26	48	24	21	25	22	23	24	73	86	29	29	44	21	25	22	28	26	18	25	27	34	25	28
25862	26	29	26	24	14	29	26	29	30	29	29	27	29	29	24	25	30	34	27	22	28	27	27	28	29	29	25	27	29	26	28	28	28	25	29	29	29	33	27	26	29	28	26	28	29	19	26	25	33	29	29	28	25	29	27	28	30	27	28	27
18876	30	29	21	26	28	29	21	28	30	29	28	23	29	29	25	24	27	38	32	18	21	33	25	27	29	29	31	31	29	23	28	26	28	24	27	17	27	35	28	25	28	28	25	28	35	14	26	21	35	27	29	25	25	27	30	28	30	27	30	26
336	26	28	25	25	16	28	25	28	30	28	28	23	28	28	25	30	22	42	26	22	22	24	22	24	28	28	28	32	28	24	27	26	25	24	28	22	26	36	26	25	34	23	24	26	32	20	26	25	35	26	27	25	26	26	28	25	30	27	27	26
27372	25	29	25	29	8	28	26	26	28	31	26	23	27	29	27	26	25	18	31	29	30	34	25	26	28	29	26	37	28	25	28	25	28	26	25	31	30	24	28	24	14	27	32	28	17	8	27	26	25	22	28	25	27	29	28	28	28	28	23	27
35636	23	29	32	24	4	26	24	23	27	28	23	19	25	29	22	25	30	22	29	15	36	26	23	27	26	29	35	27	26	26	31	19	32	17	19	25	26	25	29	17	10	29	23	31	13	3	26	25	25	24	30	30	25	26	21	35	27	26	25	26
