Desc	Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Oeuropea	Mguttatus	Slycopersicum
JSG30792	30792	27	24	17	23	18	26	26	21	25	26	21	18	15	15	21	25	20	23	20	19	20	24	21	22	22	23	22	21	24	19	16
JSG19954	19954	25	21	24	22	25	19	21	17	25	24	16	26	22	20	21	21	22	22	18	21	26	22	19	18	20	23	20	22	22	10	17
JSG38515	38515	26	19	18	22	19	24	23	20	21	22	20	21	22	20	19	21	23	18	24	17	19	21	19	30	24	23	23	23	20	18	14
JSG00607	607	23	25	19	24	20	22	23	19	23	27	18	21	18	18	24	22	22	22	21	18	22	20	23	16	21	23	24	22	25	20	14
JSG20122	20122	23	24	19	22	20	24	24	23	25	24	21	20	22	20	21	23	16	18	19	19	20	22	19	20	19	25	22	25	36	9	14
JSG03873	3873	28	25	17	18	19	18	27	21	26	16	24	20	21	24	20	18	10	23	19	21	25	17	25	30	24	14	26	21	47	0	5
JSG38810	38810	24	23	18	20	24	20	21	20	26	24	18	22	23	20	18	22	20	19	19	22	25	21	20	20	17	20	22	22	34	13	7
JSG12751	12751	22	22	19	23	23	25	22	23	24	20	25	19	18	18	20	25	22	23	18	22	21	17	18	23	17	20	19	21	23	13	12
JSG08919	8919	20	17	23	16	20	21	19	25	24	18	25	21	20	20	20	21	17	14	18	19	24	15	22	27	24	16	27	17	32	10	10
JSG12761	12761	28	20	18	15	22	16	21	21	16	18	29	14	16	18	12	15	17	19	17	20	26	16	28	28	23	13	26	19	52	2	22
JSG32002	32002	21	20	23	19	22	20	31	18	20	25	15	20	21	20	19	26	21	20	17	19	21	20	20	23	21	22	23	21	20	9	10
JSG26288	26288	26	19	18	21	18	19	21	17	20	19	18	19	19	19	17	20	21	22	20	19	21	20	16	21	22	21	21	20	26	19	16
JSG40969	40969	20	17	19	24	22	20	21	18	20	22	21	21	18	19	19	22	19	19	18	20	20	23	20	22	20	21	21	23	24	6	12
JSG19560	19560	23	17	19	20	21	23	24	20	26	23	19	18	21	15	17	24	19	17	21	18	20	20	24	17	22	23	20	23	22	9	11
JSG21394	21394	20	19	24	19	21	14	21	20	26	17	19	20	21	18	14	19	15	25	19	22	24	14	18	19	22	16	20	24	34	5	12
JSG16763	16763	21	21	19	19	20	19	23	19	19	19	22	20	19	19	20	20	16	19	19	19	20	18	21	22	17	20	23	20	27	12	10
JSG15461	15461	25	21	23	19	25	20	19	26	14	13	23	16	24	21	18	14	20	21	21	17	17	16	25	26	24	15	25	18	15	5	4
JSG29387	29387	24	21	17	14	21	20	20	20	15	16	20	20	16	14	18	14	17	19	22	16	18	15	27	20	18	13	22	19	61	18	5
JSG20629	20629	20	17	18	17	20	19	22	15	24	16	18	15	18	15	11	16	11	20	26	23	20	18	18	30	19	15	21	24	51	5	9
JSG38183	38183	19	19	19	18	16	17	19	18	18	19	18	17	20	17	20	21	17	20	20	18	20	19	18	20	17	16	18	20	20	21	16
JSG17937	17937	24	20	15	20	20	23	21	15	21	21	15	15	17	18	16	22	18	18	16	18	22	19	21	18	17	20	18	19	24	16	18
JSG25779	25779	23	19	16	17	20	21	19	20	18	17	17	18	18	19	20	18	19	16	21	17	16	17	17	24	20	16	19	17	27	8	9
JSG16612	16612	22	20	19	20	16	20	17	19	19	20	19	19	19	17	19	22	17	19	20	21	20	20	16	16	20	20	18	20	20	9	10
JSG01637	1637	21	18	18	18	17	21	20	19	22	19	20	18	18	21	18	18	17	16	19	14	19	18	19	14	20	18	16	19	21	9	11
JSG20752	20752	6	18	17	18	17	18	17	18	22	18	21	18	16	19	18	19	17	18	20	18	20	18	18	17	18	17	18	17	65	2	1
JSG00172	172	18	19	19	16	16	18	20	21	15	15	18	18	18	16	18	17	19	16	20	18	17	19	16	20	18	18	20	19	27	12	9
JSG18812	18812	24	16	16	17	18	20	20	14	16	14	17	19	17	12	14	12	14	16	18	16	15	16	18	22	23	9	24	17	27	25	20
JSG34314	34314	20	18	14	17	13	26	23	21	14	21	21	15	13	14	19	23	18	17	18	23	17	15	18	16	18	19	20	17	20	3	4
JSG38476	38476	20	19	16	17	19	21	18	19	18	16	15	17	18	20	17	19	21	19	15	22	16	17	16	15	15	17	15	18	19	8	12
JSG36016	36016	21	18	19	18	18	19	19	18	20	19	16	19	17	18	15	20	15	19	18	13	19	19	15	16	16	19	16	17	21	11	10
JSG31669	31669	18	19	19	18	15	18	21	17	16	20	19	18	14	17	17	19	19	14	17	16	17	21	22	19	19	14	20	16	20	9	8
JSG20355	20355	18	18	15	19	14	19	19	18	19	20	18	15	16	18	13	15	14	18	18	13	14	19	19	17	20	16	18	19	32	12	12
JSG00689	689	19	19	16	15	20	16	21	13	16	19	18	16	14	17	20	16	20	18	20	15	16	15	18	15	15	17	16	17	17	25	5
JSG27952	27952	19	20	14	12	12	17	14	18	26	13	23	18	8	14	16	22	16	18	14	12	17	10	21	21	21	13	22	14	42	12	17
JSG03965	3965	15	17	16	16	15	14	15	16	18	16	13	19	16	14	17	21	15	18	15	14	21	14	15	20	14	16	18	16	26	17	21
JSG02418	2418	19	17	14	18	15	19	18	17	17	18	14	14	15	16	13	19	16	17	15	15	14	18	18	17	17	17	18	17	21	15	12
JSG36096	36096	16	17	17	17	15	18	18	17	16	17	16	16	15	15	15	17	15	16	16	15	16	17	17	18	15	19	18	17	18	11	11
