Desc	Family ID	FRAX00	FRAX01	FRAX02	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	FRAX34	Mguttatus	Oeuropea	Slycopersicum
JSG26133	26133	110	108	109	105	90	105	95	108	109	109	91	110	97	104	95	95	86	93	86	95	98	112	84	110	109	105	69	110	110	84	74	209	75
JSG07772	7772	22	106	84	93	79	114	100	102	92	110	85	91	97	100	95	86	102	97	87	91	87	101	87	93	107	94	84	98	105	85	0	23	0
JSG41142	41142	79	78	89	77	74	82	75	82	78	88	91	71	78	64	70	63	81	74	80	73	78	85	82	79	85	75	78	81	90	67	54	102	48
JSG24722	24722	76	67	69	67	66	68	72	71	61	70	72	68	72	67	69	60	71	58	61	68	65	69	71	68	74	66	59	66	69	61	89	109	75
JSG35313	35313	49	64	65	59	54	73	72	79	68	63	72	68	63	60	59	59	61	52	71	52	55	58	63	75	71	76	54	66	65	52	43	200	15
JSG39027	39027	43	41	37	36	35	40	38	38	45	38	39	42	43	35	32	34	43	39	49	32	36	39	30	43	51	43	36	44	41	24	104	118	48
