Desc	Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Mguttatus	Oeuropea	Slycopersicum
OG0004178	4178	3	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	6	2
OG0019809	19809	1	1	0	0	0	0	0	0	0	0	2	1	0	1	1	2	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0
OG0007113	7113	2	1	1	1	2	2	2	1	2	2	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	3	2
OG0001017	1017	2	10	2	3	7	5	5	6	2	1	4	2	5	5	5	0	4	1	3	1	4	1	8	1	6	1	6	3	0	0	0
OG0009518	9518	2	2	1	2	2	2	2	1	2	2	1	1	2	2	0	2	1	2	2	1	2	2	1	1	1	2	2	2	0	2	0
OG0021632	21632	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OG0007994	7994	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	1	1	2	2	3	2	0	0	2	2	1	2	1	4	1
OG0010007	10007	1	1	1	0	0	1	2	3	1	1	1	1	1	1	2	2	3	5	1	0	2	0	2	6	2	1	3	0	0	0	0
OG0017332	17332	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1
OG0018121	18121	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
OG0008734	8734	2	2	2	2	2	1	2	1	2	2	1	2	2	2	2	2	2	1	1	1	2	2	2	1	2	1	1	2	0	1	0
OG0000772	772	3	4	4	4	4	3	4	3	4	4	3	4	3	4	4	3	4	4	2	4	4	3	4	4	3	3	4	4	3	6	6
OG0006420	6420	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	3	2	0	3	1
OG0017850	17850	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	2	1
OG0024113	24113	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OG0005415	5415	1	1	2	2	2	2	3	2	2	2	2	2	2	1	1	2	2	3	2	2	2	2	2	2	2	2	2	2	1	1	2
OG0028009	28009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OG0012231	12231	2	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0
OG0010365	10365	2	2	1	1	1	2	2	1	2	2	3	0	0	1	0	2	2	2	3	1	1	2	0	1	1	1	1	2	2	2	1
OG0021948	21948	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0
OG0008336	8336	1	1	1	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	1	1
OG0006879	6879	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
OG0026750	26750	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000425	425	6	4	5	4	5	5	5	4	6	4	5	5	4	4	3	5	4	4	5	5	5	4	5	5	5	4	5	4	2	8	1
OG0009533	9533	2	2	1	2	0	2	2	1	2	2	0	1	1	2	2	2	0	1	2	2	1	2	2	1	2	2	1	1	1	3	1
OG0028285	28285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OG0012403	12403	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
OG0000392	392	6	5	3	5	5	5	6	6	5	6	6	5	5	4	3	3	4	5	5	4	5	4	6	4	5	6	6	6	2	5	1
OG0016442	16442	1	0	1	2	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	2	1	1	1	1	1	2	1	1	0
OG0017977	17977	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	2	1	2
OG0025864	25864	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OG0021873	21873	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0
OG0019479	19479	2	1	0	0	1	0	0	1	0	0	2	1	1	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0
OG0015531	15531	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1
OG0015737	15737	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
OG0019890	19890	1	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	2	0	1	0	0	0	0	0
OG0005613	5613	2	2	2	0	2	2	1	1	2	2	2	2	2	0	1	6	2	3	2	2	2	2	2	2	2	2	2	1	2	2	1
OG0002274	2274	3	2	3	3	3	3	3	3	3	3	3	2	2	2	1	4	3	2	2	2	3	3	3	1	3	3	3	3	1	6	2
OG0017472	17472	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0024911	24911	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OG0025153	25153	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OG0022402	22402	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
OG0020473	20473	1	0	2	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
OG0005679	5679	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2
OG0001898	1898	3	2	2	3	4	3	3	3	3	3	3	3	2	3	3	2	3	3	3	2	3	2	3	3	3	3	3	2	1	5	1
OG0015426	15426	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0006665	6665	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	2	2	1	2	2	2	2	2	1	3	2
OG0010610	10610	2	2	2	1	1	0	0	2	0	1	2	3	1	1	2	1	2	2	3	2	1	0	0	1	1	0	1	3	0	0	0
OG0015473	15473	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0018850	18850	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	2	1	0	2	2	1	2	1	0	1	0	0	0	0
OG0010976	10976	1	1	3	2	2	0	2	3	3	1	3	3	1	0	0	0	1	0	0	0	1	3	1	3	3	0	2	1	0	0	0
OG0002169	2169	2	2	3	3	3	3	2	3	3	3	3	3	3	2	2	3	3	2	3	3	3	3	3	2	3	3	3	3	2	2	3
OG0024733	24733	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OG0008428	8428	2	2	2	1	1	2	2	1	2	2	2	1	2	2	2	1	1	0	2	2	2	2	1	1	1	2	2	2	2	2	2
OG0017941	17941	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	0	2	0
OG0020936	20936	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0
OG0022363	22363	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0001212	1212	3	2	4	3	3	3	4	3	4	4	3	4	3	3	4	4	4	4	3	1	4	3	4	3	4	3	4	3	1	4	2
OG0019649	19649	1	1	1	0	1	1	1	0	0	0	4	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
OG0017911	17911	1	0	1	1	0	0	0	1	0	0	1	2	2	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0
OG0000849	849	5	5	4	4	3	4	4	2	4	4	3	4	3	4	4	3	4	3	3	3	4	4	3	4	4	5	3	3	3	5	3
OG0021427	21427	0	0	1	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OG0008990	8990	2	1	3	1	1	2	2	2	3	2	1	2	2	1	1	1	1	3	0	1	1	2	2	1	2	2	2	1	1	2	1
OG0002182	2182	3	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	2	2	2	2	3	3	3	3	2	3	3	3	2	3	2
OG0003858	3858	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	1
OG0013057	13057	1	1	1	0	1	1	2	1	2	1	1	1	1	1	1	1	0	2	1	1	0	1	1	3	2	0	2	2	0	0	0
OG0008783	8783	2	1	1	1	1	2	2	0	2	2	2	2	2	2	0	2	2	2	0	0	1	2	2	2	2	2	2	1	3	2	1
OG0013931	13931	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
OG0015078	15078	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
OG0014369	14369	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0
OG0016134	16134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0
OG0009984	9984	1	2	0	1	2	1	2	1	3	2	1	2	1	1	2	2	2	3	3	1	1	1	2	1	1	2	1	0	1	1	1
OG0017131	17131	2	1	1	1	1	1	1	1	1	1	1	1	2	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	2	1	1
OG0011220	11220	2	2	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	0	1	1
OG0024317	24317	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0009260	9260	2	2	0	1	2	1	1	2	2	2	0	1	1	2	1	2	2	2	2	1	3	2	1	1	2	2	1	2	1	3	1
OG0017246	17246	1	2	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	2	1	1	1	1	0	1	0	2	1	2	1
OG0024568	24568	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OG0014803	14803	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0004482	4482	2	2	2	3	2	2	1	2	3	3	2	2	2	2	2	2	1	1	2	2	2	1	2	3	2	2	2	3	2	1	2
OG0026114	26114	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OG0012117	12117	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	2	2
OG0018575	18575	1	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1
OG0009063	9063	2	2	1	1	1	2	2	1	1	2	1	1	1	2	2	1	1	1	2	1	1	2	2	2	2	2	2	2	1	3	1
OG0010133	10133	2	1	1	2	0	0	2	1	2	2	2	1	2	2	1	1	2	1	1	1	1	2	2	1	1	2	1	2	1	4	1
OG0005446	5446	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	1	2	2	1
OG0011329	11329	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	4	2	0
OG0012141	12141	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2
OG0015442	15442	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
OG0006040	6040	2	2	2	2	2	2	2	2	3	2	2	1	2	2	2	2	1	2	2	1	1	2	2	1	2	2	2	2	1	3	1
OG0005530	5530	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1
OG0007713	7713	1	2	0	3	2	4	1	1	0	1	1	1	0	3	3	2	4	2	2	2	0	2	2	2	1	3	2	2	0	0	1
OG0011551	11551	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	3	2
OG0001570	1570	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	2	4	1
OG0006766	6766	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	2	1	0	1	2	2	2	3	3	1
OG0001659	1659	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	2	4	3	3	3	3	3	3	2
OG0020054	20054	0	1	0	1	0	0	0	2	0	1	1	0	0	1	1	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0
OG0009978	9978	1	2	1	1	2	3	1	2	1	1	1	1	1	2	2	1	2	2	1	1	1	1	3	1	1	2	1	2	1	1	2
OG0009681	9681	2	2	2	0	1	2	2	1	2	2	1	1	1	2	1	2	2	1	1	1	2	1	2	1	2	0	1	2	2	3	1
OG0023871	23871	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OG0011172	11172	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	0	2	0
OG0019534	19534	1	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1	1	0	1	1	0	0	0	0	2	0	1	1
OG0024160	24160	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0018374	18374	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
OG0022953	22953	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
