Node	Expansions	Contractions	Rapidly evolving families
FRAX00<2>	1680	2422	133
FRAX06<4>	950	3735	71
FRAX07<0>	1304	4982	44
<3>	139	1355	14
Slycopersicum<14>	1775	3941	49
FRAX19<6>	1293	3667	76
<11>	0	0	0
FRAX11<8>	887	2833	49
<1>	133	1949	10
Oeuropea<12>	5617	10924	74
<15>	573	17582	53
<5>	141	4506	29
<7>	11	1008	5
<9>	369	3105	13
FRAX09<10>	1218	3698	60
Mguttatus<16>	1335	4332	50
