Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Frax00	1680 (44)	1981	1.18	2422 (89)	2962	1.22	23635	-0.0353679
Frax06	950 (58)	1250	1.32	3735 (13)	3914	1.05	23052	-0.096045
Frax07	1304 (40)	1678	1.29	4982 (4)	5203	1.04	21451	-0.127087
Slycopersicum	1775 (38)	3507	1.98	3941 (11)	4496	1.14	22021	-0.0356563
Frax19	1293 (61)	1653	1.28	3667 (15)	3944	1.08	22777	-0.0825973
Frax11	887 (11)	1006	1.13	2833 (38)	3086	1.09	24017	-0.0749901
Oeuropea	5617 (58)	8702	1.55	10924 (16)	11782	1.08	11196	-0.111043
Frax09	1218 (46)	1522	1.25	3698 (14)	3944	1.07	22821	-0.0873202
Mguttatus	1335 (35)	2612	1.96	4332 (15)	4978	1.15	22070	-0.0853012
